Continent,Country,Name,Type,Title,Text,Release_date,Link
Europe,Germany,Bayerischer Rundfunk,PBC,Ethics of Artificial Intelligence: Our AI Ethics Guidelines,"User Benefit We deploy AI to help us use the resources that our users entrust us with more responsibly by making our work more efficient. We also use AI to generate new content, develop new methods for investigative journalism and make our products more attractive to our users. Transparency and Discourse. We participate in the debate on the societal impact of algorithms by providing information on emerging trends, investigating algorithms, explaining how technologies work and strengthening an open debate on the future role of public service media in a data society. We study the AI ethics discourse in other institutions, organizations and companies in order to check and improve our guidelines to avoid a gap between theory and practice. We make plain for our users what technologies we use, what data we process and which editorial teams or partners are responsible for it. When we encounter ethical challenges in our research and development, we make them a topic in order to raise awareness for such problems and make our own learning process transparent. Diversity and Regional Focus We embark on new projects conscious of the societal diversity of Bavaria and Germany. For instance, we strive towards dialect models in speech to text applications and bias-free training data (algorithmic accountability). We work with Bavarian startups and universities to make use of the AI competence in the region and support the community through use cases in the media industry and academia. We do strive for the utmost reliability in our operations and might chose to work with established tech companies on a case-by-case basis. Where possible, we work within our networks of ARD and the European Broadcasting Union (EBU), and consciously bring the ethical aspects of any proposed application to the collaboration. Conscious Data Culture We require solid information about their data sources from our vendors: What data was used to train the model? Correspondingly, we strive for integrity and quality of training data in all in-house development, especially to prevent algorithmic bias in the data and render visible the diversity of society. We continually raise awareness amongst our employees for the value of data and the importance of well-kept metadata. For only reliable data can produce reliable AI applications. A conscious data culture is vital to our day-to-day work and an important leadership task to future-proof public service media. We collect as little data as possible (data avoidance) and as much data as necessary (data economy) to fulfill our democratic mandate. We continue to uphold high data security standards and raise awareness for the responsible storage, processing and deletion of data, especially when it concerns personal data. We design the user experience of our media services with data sovereignty for the user in mind. Responsible Personalization Personalization can strengthen the information and entertainment value of our media services, so long as it does not undermine societal diversity and prevents unintended filter bubble effects. Hence, we use data-driven analytics as assistive tools for editorial decision-making. And in order to develop public service minded recommendation engines, we actively collaborate with other European media services through EBU. Editorial Control While the prevalence of data and automation introduce new forms of journalism, the editorial responsibility remains with the editorial units. The principle of editorial checks continues to be mandatory, even with automated content. But its implementation changes: the check of every individual piece of content is replaced by a plausibility check of causal structures in the data and a rigorous integrity examination of the data source. Agile Learning To continuously improve products and guidelines, we need experience and learning from pilot projects and prototypes. Experiments are an explicit part of this process. Up until and including the beta phase, these guidelines offer general orientation. In the final release candidate phase, they are fully binding. That way, we ensure that our final product offering fulfills the highest standards, while still encouraging a culture of learning and experimentation in our day-to-day work. We also pledge to listen to our users, invite their feedback and adjust our services if necessary. Partnerships We offer a practical research context for students and faculty at universities and collaborate with academia and industry to run experiments, for example with machine learning models and text generation. We exchange ideas with research institutions and ethics experts. Talent and Skill Acquisition Given the dynamic technology spectrum in the field of AI, we proactively ensure that BR has sufficient employees with the skills to implement AI technologies at the cutting edge of the industry in a responsible, human-centric way. We aim to recruit talent of diverse backgrounds with practical AI skills which we encourage them to deploy towards public service journalism. Interdisciplinary Reflection Instead of running ethics reviews after significant resources are invested, we integrate the interdisciplinary reflection with journalists, developers and management from the beginning of the development pipeline. That way, we ensure that no resources are wasted on projects that predictably do not meet these guidelines. We reflect on ethical red flags in our use of AI technologies regularly and in interdisciplinary fashion. We evaluate these experiences in light of the German public service media mandate and these ethics guidelines.",30-11-2020,https://www.br.de/extra/ai-automation-lab-english/ai-ethics100.html
Europe,Germany,DPA,Agency,The 5 AI guidelines of the DPA,"The DPA uses AI for various purposes and is open to the increased use of AI. AI will help to do our work better and faster - always in the interest of our customers and our products. The DPA only uses AI under human supervision. The final decision about the use of AI-based products is made by a human. We respect human autonomy and the primacy of human choices. The DPA only uses legitimate AI that complies with applicable law and statutory provisions and that meets our ethical principles, such as human autonomy, fairness and democratic values. The DPA uses AI that is technically robust and secure to minimize the risk of errors and misuse. Where content is generated exclusively by AI, we make this transparent and explainable. A person is always responsible for all content generated with AI. The DPA encourages all employees to be open and curious about the possibilities of AI, to test tools and to make suggestions for use in our workflows. Transparency, openness and documentation are crucial.",03-04-2023,https://innovation.dpa.com/2023/04/03/kuenstliche-intelligenz-fuenf-guidelines-der-dpa/
Europe,The Netherlands,ANP,Agency,Guideline: this is how the ANP editors deal with AI,"Like previous automations (the telegraph, the telex, the computer, the fax, the Internet, the telephone, search engines, social media...) artificial intelligence (""AI"") will change our journalistic work in ways that we, as ANP editors, cannot yet foresee: some innovations facilitate our daily work significantly and take us both journalistically and professionally rapidly further, others may affect our principles including our commitment to quality and reliability.

Therefore, we hereby establish basic principles on how the ANP editorially handles AI or derived artificial editorial applications including but not limited to so-called 'generative AI', 'templating' or 'text-to-speech' and 'speech-to-text'. Simply put, this is the line we follow. This is a living document that can be modified by the editor-in-chief as the developments call for it.

As with everything, in our thinking and work we first refer back to the Editorial Statutes. These state, among other things, that the purpose of ANP for example is ""to maintain a completely impartial and independent bureau for the objective provision of completely impartial and independent bureau for the objective supply of domestic and foreign news reports to the Dutch media"". For the journalistic policy, the articles of association keep us informed, include ""no direct influence by anyone, neither from outside nor from within, other than in the manner provided for in this Statute,"" ""impartiality and care in the presentation of verifiable facts and opinions"" and ""completeness and balance in the selection from relevant sources"" our maxims.

This is what we have to adhere to. In line with this, the following AI principles established by the chief editors and endorsed by the chiefs and editorial board. Violation of these is considered contrary to our basic journalistic principles and comparable to committing plagiarism.

1. We rely at all times on the Editorial Statutes, the law when deploying AI, the democratic principles that apply in the Netherlands and the mores of the journalistic profession, regardless of the possibilities that technical developments offer us, in the interest of the customers, our editorial standards and journalistic social authority. We are convinced that the ANP is best served by this.

2. As we look at society, every member of the ANP editorial staff looks at AI and related systems: full of wonder, inquisitive, critical and open to developments.

3. We see many opportunities with this and can be inspired by the computer (or by AI) to be inspired for such things as headlines, backgrounds, story ideas or sources to be accessed. Also - for example - recorded texts can be automatically transcribed and other support services applied. The number of possibilities for assistance is bound to increase further. It is up to editors whether it is relevant and useful whether AI applications are used in editorial or journalistic productions are deployed. Simply put: AI is, as it appears, a tool and not a substitute.
4. We can use AI or similar systems to support final editing, provided a human does a final check afterwards.

5. We continue to innovate on the principle of ""cautious experimentation. We want to actively pursue innovations and efficient work processes, but do not show ourselves to be reckless in doing so. Editorial innovations on journalistic productions for which the editor-in-chief are presented to the public only when they presented when they meet the principles of this document and the quality requirements applicable within ANP editorial staff.

6. We publish text, images, graphics or audio generated in any way by the computer (or by AI) is generated only with permission from chiefs and chief editors. We are both investigative and cautious in this regard because AI texts may look as promising as they may contain errors (""hallucinations"") and may reaffirm biases (""bias""). Moreover it is complex with computer-generated content to assess the reliability of the facts presented as true. In this consideration of publishing, we include how the AI system in question arrived at the information arrived at.

7. In our production chain we stick to the line already in place man>machine>human in which thinking and decision making begins and ends, possibly in intermediate production assisted by the computer. We therefore do not use computer (or AI) generated content, even as source material, without the checking of this information by a human being. After all, we remain, each of us remains responsible for ANP's reliability. We start with the facts (and that's where we end).

8. We are open to our customers about our methods and the deployment of AI or other technical systems. As a journalistic service provider, we strive for transparency, in that line we state where we as editors consider it deem appropriate the extent of AI use. Of course we are always available for customers always available for questions or explanations.

If there are questions to which the above principles do not answer, we will consult with you. This way we avoid surprises afterwards.",01-03-2023,https://www.elger.fm/content/files/2023/04/Leidraad_-zo-gaat-de-ANP-redactie-om-met-AI--4_2023-.pdf
Europe,The Netherlands,MediaHuis,News company,An AI Framework for MediaHuis,"Augment, Not Replace. We carefully consider AI's role in the creative process. AI should enhance journalism and support newsroom personnel. By utilizing AI to automate time-consuming tasks, the newsroom should be able to focus on areas where expertise and critical judgment truly matter. Ultimately, we seek to enhance the overall quality of our journalism for the audience.

Transparency Above All. We always disclose when AI is used to create or modify content (e.g. summaries) or alter reader experience (e.g. personalization), using disclaimers, labels, or watermarks as needed. We publish our guidelines on how we use AI and are transparent about how we apply AI in our tools, products, and journalistic output. We encourage readers to give feedback on AI applications and allow them to review their personal data that we use in our AI decisions.

Human in the Loop. We do not publish AI-generated or modified content without a ‘human in the loop’ in the course of the publishing process. Ultimately, the editor-in-chief remains responsible for all content, including content that is generated or automated with the help of AI tools. The editor-in-chief oversees the application and implementation of AI technologies in the newsroom in order to ensure it adheres to existing journalism codes and legal/ethical standards. For every AI-related newsroom process there should be a designated key contact: In the newsroom to answer any editorial or ethical questions, and at TPS to monitor and ensure AI systems work correctly and in line with laws and regulations.

Be Fair and Without Bias. We are vigilant about potential biases in AI systems discriminating against groups of people based on race, gender, ethnicity, religion, age, or otherwise. We acknowledge that current AI tools may be prone to error and bias and consider this when we seek to develop proprietary AI models and tools. We ensure a balance of journalistic, commercial, and audience value objectives in the application of AI. Personalization should provide extra value without leading to filter bubbles or inaccessible content. Organizing news and providing hierarchy and overview are fundamental tasks of good journalism.

Trust is Key. Being a trusted source will be even more crucial to the societal role and task of news media, especially in a world where false news and fake images are easily created and spread. We should follow and reinforce the rules for verifying sources to prevent the unintentional distribution of harmful AI-generated content. We also see it as our mission to instill a healthy sense of critical skepticism in our readers and provide them with tools and knowledge to assess trustworthiness.  We respect copyright, particularly when AI elaborates on or imitates a recognizable style, content, approach or imagery from human creators.  

Privacy and Security as Priority. When using AI applications, we prioritize data privacy and security. We collect only necessary data, adhere to privacy laws, and where required obtain user consent before using personal information. We regularly check data for accuracy and biases, and securely store and delete it when required. By complying with relevant laws and regulations, we protect personal data from unauthorized access and have a process in place to address any data breaches or security incidents.  We clearly explain how we use personal data in AI applications and empower users to control their information, including accessing, modifying, or deleting their data. 
AI Training and Skills. We have clear lines of accountability for developing, deploying, and using AI in our products and services. We make sure people responsible for AI decisions are properly trained and qualified. We invest in awareness and communication in the newsrooms so our journalists are informed of and trained in acceptable AI content practices.",14-06-2023,https://www.independent.ie/editorial/editorial/aiframework140623.pdf
Europe,Switzerland,Heidi.News,Online multimedia company,The editorial staff of Heidi.news takes a position on the use of artificial intelligence,"General principles. The rise of generative AI does not call into question the ethical principles of the profession, as contained in the Munich declaration of 1971, the Tunis declaration of 2019, and the Swiss declaration of the duties and rights of journalists. Editorial staff can use AI to facilitate or improve their work, but human intelligence remains at the heart of all our editorial production. No content will be published without prior human supervision. Heidi.news supports the work of journalists, authors, photographers and illustrators. Our media does not intend to replace them with machines. Synthetic texts. Any article published is signed by one or more journalists, who remain guarantors of the veracity and relevance of the information it contains. Artificial intelligence can help the work of journalists for refining raw data in the same way as software like Excel, and as a supplement for writing articles, like online thesaurus or proofreaders. automatic spelling. AIs are tools, but not sources of information. Synthetic images. The editorial staff limits itself to using the synthetic images for illustrative purposes, and not for information, so as not to induce confusion as to events in the real world. Heidi.news will not publish a synthetic image that could pass for a photograph, except for educational purposes, when the image in question is already public. Any synthetic image published will be accompanied by a visible mark explaining its origin. The legend will mention the AI model used and the main instruction given to it. The Explorations of Heidi.news (big stories, investigations, reports) are not intended to be illustrated by synthetic images, unless these creations have been designed by an artist using AI under his own responsibility.",08-04-2023,https://www.heidi.news/cyber/la-redaction-de-heidi-news-prend-position-sur-l-usage-des-intelligences-artificielles
Europe,United Kingdom,BBC,PBC,Scaling responsible machine learning at the BBC,"The BBC's Values: The BBC's ML engines will reflect the values of our organization, upholding trust, putting audiences at the heart of everything we do, celebrating diversity, delivering quality and value for money, and boosting creativity.

Our Audiences: Our audiences create the data which fuels some of the BBC's ML engines, alongside BBC data. We hold audience-created data on their behalf and use it to improve their experiences with the BBC. Audiences have a right to know what we are doing with their data. We will explain, in plain English, what data we collect and how this is being used, for example in personalization and recommendations.

Responsible Development of Technology: The BBC takes full responsibility for the functioning of our ML engines (in house and third party). Through regular documentation, monitoring, and review, we will ensure that data is handled securely and that our algorithms serve our audiences equally and fairly so that the full breadth of the BBC is available to everyone.

Incorporating the BBC's editorial values and seeking to broaden, rather than narrow horizons: Where ML engines surface content, outcomes are compliant with the BBC's editorial values (and where relevant as set out in our editorial guidelines). We will also seek to broaden, rather than narrow, our audience's horizons.

Continued innovation and human in the loop oversight: ML is an evolving set of technologies, where the BBC continues to innovate and experiment. Algorithms form only part of the content discovery process for our audiences and sit alongside (human) editorial curation.

The Datalab team is currently testing this approach as they build the BBC's first in-house recommender systems, which will offer a more personalized experience for BBC Sport and BBC Sounds. We also hope to improve the recommendations for other products and content areas in the future. We know that this framework will only be impactful if it is easy to use and can fit into the workflows of the teams building machine learning products.

The BBC believes there are huge benefits to being transparent about how we're using Machine Learning technologies. We want to communicate to our audiences how we're using their data and why. We want to demystify machine learning. And we want to lead the way on a responsible approach. These factors are not only essential in building quality ML systems but also in retaining the trust of our audiences.

This is only the beginning. As a public service, we are ultimately accountable to the public and so are keen to hear what you think of the above.

In 2020, BBC staff across data science, engineering, research and development, policy, legal, and product came together to develop a checklist aid to putting MLEP into practice.

The MLEP Checklist sections are designed to correspond to each stage of developing an ML project and contain prompts which are specific and actionable. Not every question in the checklist will be relevant to every project, and teams can answer in as much detail as they think appropriate. We ask teams to agree and keep a record of the final checklist; this self-audit approach is intended to empower practitioners, prompting reflection and appropriate action.

When pulling the checklist together we sought to draw from best practice within the BBC and the wider industry. Internal teams also piloted several iterations of the checklist and provided feedback.

We're seeing the MLEP approach have real impact in bringing on board stakeholders from across the organization, prompting thinking about important issues like transparency, diversity, and privacy in ML systems and helping teams anticipate and tackle issues early in the development cycle.",01-10-2019,https://www.bbc.co.uk/blogs/internet/entries/4a31d36d-fd0c-4401-b464-d249376aafd1
Europe,United Kingdom,OFCOM,Regulator,Note to Broadcasters: Synthetic media (including deepfakes in broadcast programming),"“Synthetic media” is an umbrella term for video, image, text, or voice that has been generated in whole or in part by artificial intelligence algorithms. Synthetic media has become increasingly prevalent online and has also been used in virtual reality, augmented reality, gaming, and other forms of digital media. It is also used in marketing, advertising, and the entertainment industry, including in filmmaking and broadcasting. As this type of technology continues to grow and evolve at a rapid rate, synthetic media is likely to become more prevalent in broadcast content. 

In line with the right to freedom of expression we recognise the benefits such technologies can bring to both broadcasters and audiences. There are clear benefits to broadcasters who can use this technology, for example the potential to increase audience engagement through the creation of content that would be difficult or impossible to achieve with traditional media. However, the use of this technology also poses challenges to broadcasters and potential risks to audiences. For example, “DeepFake” software can replace a person in an existing image or video with someone else’s likeness with realistic results. The use of ‘DeepFake’ software has grown exponentially and it poses a number of challenges for broadcasters, these include: 

1. Misinformation and disinformation: synthetic media could be used to create fake news, propaganda and other forms of disinformation that can spread quickly online leading to challenges for broadcast journalists in authenticating footage from online sources.
2. Trust and credibility degradation: with the rise of deepfakes and other synthetic media, audiences may find it difficult to trust the authenticity of content and audiences could potentially be harmed if it is not apparent they are watching footage that is ‘Deepfake’.
3. Fairness and Privacy: audiences could mistake ‘Deepfake’ footage of a real person in a way that could result in unfairness to them or potentially unwarrantably infringe their privacy. 

Ofcom is confident that the existing rules within the Broadcasting Code will protect audiences from the potential harms that might arise through the use of synthetic media. For example, depending on the context, the relevant rules could include (but would not be limited to): 

1. Section Two (Harm and Offence): rules to protect audiences from potential harm and offence and from material which may be materially misleading (Rules 2.1, 2.2 and 2.3);
2. Section Five (due impartiality and due accuracy): ensures news content is reported with due accuracy (Rule 5.1); 
3. Section Seven (Fairness): includes a set of practices which ensure that broadcasters avoid unjust or unfair treatment of individuals or organisations in programmes; and Published on 3 April 2023 
4. Section Eight (privacy): includes a set of practices which ensure that broadcasters avoid any unwarranted infringement of privacy in programmes and in connection with obtaining material included in programmes. 

Ofcom emphasises that, consistent with broadcasters’ right to freedom of expression and audiences’ right to receive information and ideas, it is fundamental that both broadcasters and audiences can explore new and emerging technologies – including synthetic media - as they become an increasing part of our daily lives. However, Ofcom would like to remind all its licensees of their ongoing responsibility to comply with the Broadcasting Code in order to protect audiences from harm and maintain the high levels of trust in broadcast news as well as to ensure individuals and organisations are not treated unfairly and/or their privacy is not unwarrantably infringed. 

We would therefore advise all licensees to consider carefully whether their compliance processes need to be adapted or developed to account for the potential risks involved in the use of synthetic media technologies to create broadcast content.",03-04-2023,https://www.ofcom.org.uk/__data/assets/pdf_file/0028/256339/Note-to-Broadcasters-Synthetic-media-including-deepfakes-.pdf
Europe,Czech,Czech News Agency,Agency,,,,
Europe,Austria,APA,Agency,Guideline for dealing with Artificial Intelligence,"The Journalism Council has approved a new guideline on the use of artificial intelligence (AI) in journalism. It addresses the responsibility of (lead) editors and transparency to the public in the use of AI, both in the production of articles and in their dissemination. At the same time, the Council included a new article on transparency in the Code.
With the new directive, the Journalism Council is among the pacesetters in Europe to address the use of artificial intelligence in its Code. The Council's exchange of views began two years ago and has been completed just in time as the public debate over ChatGPT and other AI applications rages on.
Combined with the new article on transparency, the directive on AI reads as follows.

Article 12. The journalist is transparent about his assignment, approach and way of working. To the extent possible and to the extent relevant, he communicates this clearly to his audience.

Guideline to Article 12. Artificial intelligence can play a role in the cooking, editing, production and dissemination of news items such as articles, reports, illustrations, infographics, etc. Editorial choices play a role in such partially or fully automated processes. Those choices must comply with the principles of the Code.

The editors are responsible for these editorial choices, with final responsibility resting with the chief editors. The chief editors guarantee the principles of the Code in the development of systems that are partially or entirely driven by artificial intelligence. It monitors the application and implementation of these principles with respect to system developers. It is responsible at all times for the provision of information, regardless of how it is produced and regardless of the channel or form in which it is provided.
Editors communicate transparently about automated news production and personalization of news offerings, so that it is clear to users when news items are created or selected based on artificial intelligence.

1. Editors indicate when a news item or an element of the information offer is produced in part or in full based on automated processes and, to the extent possible, refer to the sources on which the item is based.
2. The editors shall indicate when a component of the information offer is selected or diversified based on profile or media consumption
",01-03-2022,https://apa.at/wp-content/uploads/2022/05/APA_KI_Leitlinie_BASIC_ES.pdf
Europe,Belgium,Raad voor de Journalistiek (RVDJ),NGO / Coalition,New guideline on the use of Artificial Intelligence in journalism,"The Journalism Council has approved a new guideline on the use of artificial intelligence (AI) in journalism. It addresses the responsibility of (lead) editors and transparency to the public in the use of AI, both in the production of articles and in their dissemination. At the same time, the Council included a new article on transparency in the Code. With the new directive, the Journalism Council is among the pacesetters in Europe to address the use of artificial intelligence in its Code. The Council's exchange of views began two years ago and has been completed just in time as the public debate over ChatGPT and other AI applications rages on.

Combined with the new article on transparency, the directive on AI reads as follows: Article 12: The journalist is transparent about his assignment, approach, and way of working. To the extent possible and to the extent relevant, he communicates this clearly to his audience.

Guideline to Article 12: Artificial intelligence can play a role in the cooking, editing, production, and dissemination of news items such as articles, reports, illustrations, infographics, etc. Editorial choices play a role in such partially or fully automated processes. Those choices must comply with the principles of the Code. The editors are responsible for these editorial choices, with final responsibility resting with the chief editors. The chief editors guarantee the principles of the Code in the development of systems that are partially or entirely driven by artificial intelligence. It monitors the application and implementation of these principles with respect to system developers. It is responsible at all times for the provision of information, regardless of how it is produced and regardless of the channel or form in which it is provided.

Editors communicate transparently about automated news production and personalization of news offerings, so that it is clear to users when news items are created or selected based on artificial intelligence. Editors indicate when a news item or an element of the information offer is produced in part or in full based on automated processes and, to the extent possible, refer to the sources on which the item is based. The editors shall indicate when a component of the information offer is selected or diversified based on profile or media consumption.",21-03-2023,https://www.rvdj.be/nieuws/nieuwe-richtlijn-over-het-gebruik-van-artificiele-intelligentie-de-journalistiek
